Thai,English,Romanization,ipa,Exemple sentence
อยาก,want,ayak,jàːk,เธออยากรู้ว่าเขามีใครซุกซ่อนอยู่ในหัวใจของเขาหรือไม่
เงิน,money,ngoen,ŋɤn,บางคนชอบเครื่องประดับที่ทำจากเงิน
รวม,including,ruam,ruːam,รวมกันเราอยู่ แยกกันเราตาย
หน้า,page; front,na,nâː,ในหน้าฝนมีคนเป็นไข้หวัดกันมาก
เขียน,write,khian,kʰǐːan,อย่าให้เขาเขียนเลย สงสารคนอ่าน
สี,color,si,sǐː,พ่อกำลังสีข้าวอยู่ที่โรงสี
ฉัน,I (mostly female),chan,tɕʰǎn,เธอจะเข้าๆ ออกๆ ห้องนี้ห้องโน้นอีกนานไหม ฉันเวียนหัวจะตายอยู่แล้ว
ชาย,man,chai,tɕʰaːj,ชุดที่ชายกระโปรงยาวลากพื้น ผู้สวมใส่ต้องระวังไม่ให้สะดุดหกล้ม
ดัง,as; loud,dang,daŋ,นักร้องคนนี้มีชื่อเสียงดังไปทั่วประเทศไทย
โอกาส,chance,okat,ʔoː kàːt,ในสังคมไทยการรับราชการย่อมมีโอกาสได้ชื่อเสียงง่ายกว่าการเป็นชาวนา  หรือกรรมก
เสมอ,always,samoe,sà mɤ̌ː,เขาสองคนเสมอกันในเรื่องความหล่อ แต่ฐานะต่างกันราวฟ้ากับดิน
แม่,mother,mae,mɛ̂ː,ความรักที่แม่มีให้ลูกเป็นรักที่ยิ่งใหญ่กว่ารักใดในโลก
นาย,Mr.,nai,naːj,เขาไปหานายเพื่อเรียกร้องสวัสดิการที่ดีกว่าเดิม
ชาติ,nation,chati,tɕʰâːt,ศาสนาพุทธสอนให้คนทำความดีเพื่อสั่งสมบุญบารมีทั้งในชาตินี้และชาติหน้า
เรียน,study,rian,riːan,เขาหาจังหวะเหมาะๆ เพื่อเข้าพบเจ้านาย แล้วเรียนให้ท่านทราบถึงปัญหาที่เกิดขึ้น
เสียง,sound,siang,sǐːaŋ,เรื่องนี้ฉันขอไม่ออกเสียง
รัก,love,rak,rák,เธออย่าไปหน่วงเหนี่ยวเขาไว้เลย มันไม่มีประโยชน์อะไรกับคนที่ไม่รักเรา
โรง,building; structure,rong,roːŋ,นักบอลวิ่งกันฝุ่นตลบตรงสนามหน้าเสาธงของโรงเรียน
ทราบ,know,sap,sâːp,เมื่อรถหุ่นยนต์เคลื่อนที่ มันจะเตือนให้มนุษย์ทราบ ด้วยการส่งเสียงดัง บี๊บ บี๊บ
เชื่อ,believe,chuea,tɕʰɯ̂ːa,ชาวไทยเชื่อในพระพุทธศาสนา
ตน,self,ton,ton,มียักษ์สามตน
ระดับ,level; grade,radap,ráʔ dàp,ความสามารถของนักเรียนไทยอยู่ในระดับที่ดีมาก
ครอบครัว,family,khropkhrua,kʰrɔ̂ːp kʰruːa,ครอบครัวจะช่วยหล่อหลอมเยาวชนให้เติบใหญ่เป็นคนดีของสังคม
เปิด,open,poet,pɤ̀ːt,กว่าตำรวจจะมาถึง คนร้ายก็เปิดไปถึงไหนแล้ว
ชอบ,like,chop,tɕʰɔ̂ːp,ฝนชอบตกตอนเช้า
ภายใน,within,phainai,pʰaːj naj,เมื่อเดินเข้าไปภายในอาคารฉันถึงกับอึ้งเพราะความหรูหราของการประดับตกแต่ง
เหลือ,remainder,luea,lɯ̌ːa,ชาวบ้านนำปลาที่เหลือจากกินแล้วนำไปขายทำให้มีรายได้เพิ่มขึ้น
แทน,instead,thaen,tʰɛːn,วิธีการที่จะจัดการกับปัญหาเราควรแก้ไขกับต้นตอของปัญหา แทนที่จะแก้ไขที่ปลายเหตุ
มอง,view,mong,mɔːŋ,ฉันมองร่างเด็กผอมเกร็งตัวดำอย่างสมเพช
พวก,group; party,phuak,pʰûːak,โปรแกรมพวกนี้จะเป็นโปรแกรมการกุศลซึ่งเป็นโปรแกรมที่ประโยชน์ใช้งานได้จริง
ญาติ,relative,yat,jâːt,คนที่ไปรับญาติกลับจากสงคราม มีความสุขที่ได้เห็นญาติกลับบ้าน
รูป,image,rup,rûːp,เราจงอย่ายึดมั่นถือมั่นกับรูป รส กลิ่น เสียง
